title,author,cover_url,publish_date,language,subjects
anxiety on/off,anna lim,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,english,"exhibitions, artistic photography, disaster victims, pictorial works, disasters, awards, ilwoo foundation"
shokubunka no shōjiten,nichigai asoshiētsu,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,japanese,"food habits, handbooks, manuals, awards, food industry and trade, food science, agriculture, fisheries, shokuseikatsu-benran, shokuhin-benran, nōgyō-benran, hyōshō-benran, japan"
architecture in dialogue: aga khan award for architecture 2019,"andres lepik, farrokh derakhshani, aga khan award for architecture, david adjaye, mohammad al-asad",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"modern architecture, awards, islamic architecture, aga khan award for architecture (organization)"
kunstpreis böttcherstrasse: prize bremen 2020,mara-lisa kinne,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"german,english","art, exhibitions, awards, modern art, beeldende kunst, kunstprijzen (beloning), kunstpreis der böttcherstrasse in bremen, germany, bremen, 21st century"
2. međunarodni trijenale grafike livno: 2nd international triennial of graphic arts in livno : 26.6.-1.11.2020,željka markov,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,multiple languages,"graphic arts, exhibitions, awards, art, modern art, bosnia and herzegovina, livno"
surprize,"gregor jansen, raphael nocken, alicia holthausen",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"modern art, exhibitions, awards, städtische kunsthalle düsseldorf, 21st century"
palabras para idea vilariño y mario benedetti,concurso literario sintep (1st 2020 urug...,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,spanish,"uruguayan literature, awards, literary prizes, littérature uruguayenne, prix et récompenses, prix littéraires, uruguay, 21st century, 21e siècle"
premii︠a︡ imeni aleksei︠a︡ komecha: za obshchestvenno znachimui︠u︡ grazhdanskui︠u︡ pozit︠s︡ii︠u︡ v dele zashchity i sokhranenii︠a︡ kulʹturnogo nasledii︠a︡ rossii,s. s. uskova,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,russian,"architecture, conservation and restoration, awards, congresses, russia (federation)"
wildlife photographer of the year,rosamunde kidman cox,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"animals, pictorial works, nature, wildlife photography, awards, photography, great britain"
boku wa i san kara bungaku o mananda: yi sang munhaksang taesang chakka ŭi chajŏnjŏk esei = the autobiographical essays of the yisang literary award grand prix winners,"i-hyŏng yun, ayako furukawa",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,japanese,"korean essays, translations into japanese, yi sang munhaksang, history, korean fiction, awards, 20th century, 21st century"
strabag artaward: 25 jahre kunstpreis für malerei und zeichnung = 25 years art prize for painting and drawing,strabag kunstforum,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"painting, awards, drawing, strabag kunstforum, austria"
xxvii ogólnopolski przegląd plakatu muzealnego i ochrony zabytków,poland) ogólnopolski przegląd plakatu mu...,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,polish,"polish posters, posters, competitions, awards, art, exhibitions, poland"
sustainable design 8: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,marie-hélène contal,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,french,"sustainable architecture, awards, history, architecture and society, global award for sustainable architecture, 21st century"
"europan15 austria: productive cities : resources, mobility, equity",iris kaltenegger,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"city planning, competitions, architecture, designs and plans, history, sustainable urban development, young architects, awards, austria, 21st century"
hasselblad award: celebrating photography,"jenny blixt, duncan forbes",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"artistic photography, awards, erna and victor hasselblad foundation"
"yūshū sakuhinshū, soto to no atarashii tsunagari o motta sumai",nihon kenchiku gakkai sekkei kyōgi (2020...,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,japanese,"domestic architecture, designs and plans, architectural design, awards, japan"
le prix de la critique d'art aica france 2019,florian gaité,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,french,"art criticism, history, art, awards, modern art, international association of art critics, france, 21st century"
"chŏlmŭn kŏnch'ukka sangsang hago t'amgu hago chojŏng hada: young architect imagining, studying and coordinating",chi-hyŏn pak,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,korean,"architecture, korean architecture, modern architecture, awards, korea (south), 21st century"
prémio award estação imagem 2020 coimbra,galeria de arte convento espírito santo,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,portuguese,"artistic photography, exhibitions, photojournalism, photography, awards, portugal, coimbra"
malta architecture and spatial planning awards: 2019,conrad thake,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"architecture, history, interior architecture, malta architecture and spatial planning awards, awards, malta, 21st century"
american illustration: 39,milan bozic,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"illustrators, competitions, magazine illustration, design, graphic arts, awards, american drawing, united states, 21st century"
betye saar: wolfgang-hahn-preis 2020 : 2020 wolfgang hahn prize,carla cugini,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"awards, found objects (art), artists, artistes, betye saar, united states, états-unis"
