title,authors,publisher,publishedDate,description,categories,pageCount,language,previewLink,averageRating,ratingsCount
"Belgium, Economy + Technique",,,1968,,Belgium,590.0,en,http://books.google.de/books?id=S9MHuMQz29UC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=95&source=gbs_api,,
Calendar for Session ...,McGill University,,1920,,,526.0,en,http://books.google.de/books?id=kmgZAAAAYAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=96&source=gbs_api,,
News Year,,,1962,,"Almanacs, American",688.0,en,http://books.google.de/books?id=8Rw_xQxB2awC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=97&source=gbs_api,,
Passport,,,2008,,United States,226.0,en,http://books.google.de/books?id=sgQQAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=98&source=gbs_api,,
Annual Register of Grant Support,,,1987,,Endowments,1034.0,en,http://books.google.de/books?id=AEMaAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=99&source=gbs_api,,
Branch Library Book News ...,New York Public Library,,1927,,Classified catalogs,492.0,en,http://books.google.de/books?id=tt0aAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=100&source=gbs_api,,
International Literature,,,1970,,Russian literature,1480.0,en,http://books.google.de/books?id=4tIolflPYUIC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=121&source=gbs_api,,
Kansas Library Bulletin,"Kansas State Library, Kansas. Traveling Libraries Commission",,1971,,Libraries,218.0,en,http://books.google.de/books?id=G1DpAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=122&source=gbs_api,,
EUSA Review,,,2006,,,114.0,en,http://books.google.de/books?id=et8MAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=123&source=gbs_api,,
Bombay University Calendar,University of Bombay,,1916,,Universities and colleges,612.0,en,http://books.google.de/books?id=R1omAQAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=124&source=gbs_api,,
Madras Jurist,,,1875,,Law,482.0,en,http://books.google.de/books?id=JSI7AQAAMAAJ&pg=PA255&dq=awarded+books&hl=&as_pt=BOOKS&cd=125&source=gbs_api,,
Canadian Children's Literature,,,1994,,"Children's literature, Canadian",408.0,en,http://books.google.de/books?id=0LALAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=126&source=gbs_api,,
Bookseller & Stationer and Office Equipment Journal,,,1929,,Booksellers and bookselling,1012.0,en,http://books.google.de/books?id=iCvA6mmRJogC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=127&source=gbs_api,,
Young Wings,,,1937,,Children's literature,216.0,en,http://books.google.de/books?id=fNg_B9Vy3PwC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=128&source=gbs_api,,
Michigan Library News,Michigan State Library,,1951,,,574.0,en,http://books.google.de/books?id=sQK_AAAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=129&source=gbs_api,,
The Horn Book Magazine,"Bertha E. Mahony, Bertha E. Mahony Miller",,1945,"Vol. 2 includes extra number, ""Experimental schools in England,"" Jan. 1926.",Children's literature,702.0,en,http://books.google.de/books?id=ldY8AQAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=130&source=gbs_api,,
The Bowker Annual Library and Book Trade Almanac 2004,"Information Today, Incorporated",Information Today,2004-05,"As an on-the-job answer book, a statistical information resource, a planning and research guide, and a directory and calendar, The Bowker Annual Library and Book Trade Almanac 2004 delivers the hard-to-find industry news and information you need. This acclaimed must-have resource provides the following: Expert reviews of the key trends, events, and developments that will influence your work in 2004 and the years to come Clear explanations of new legislation and changes in funding programs-and how this will affect libraries Definitive statistics on book prices, numbers of books published, library expenditures, average salaries, and other budget-crunching assistance A full calendar of events, key organizations, names and numbers of important individuals (including e-mail addresses and fax numbers), and much more This fully updated reference tool makes it easy to stay on top of the developments that affect libraries, booksellers, and publishers alike-and to find fast answers to the countless on-the-job questions you encounter.",Language Arts & Disciplines,840.0,en,http://books.google.de/books?id=hvvgAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=131&source=gbs_api,,
Voice of Youth Advocates,,,1984,,Young adult literature,384.0,en,http://books.google.de/books?id=LVHpAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=132&source=gbs_api,,
"Public Documents of the State of North Dakota, Being the Annual and Biennial Reports of Various Public Officers and Institutions to the Governor and Legislative Assembly, for the Fiscal Period Ending ...",North Dakota,,1907,,North Dakota,2142.0,en,http://books.google.de/books?id=mwFFAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=133&source=gbs_api,,
Wisconsin Library Bulletin,,,1919,,Libraries,554.0,en,http://books.google.de/books?id=vS-KpZUnJaIC&pg=RA1-PA13&dq=awarded+books&hl=&as_pt=BOOKS&cd=134&source=gbs_api,,
Quill & Quire,,,1987,,Book industries and trade,562.0,en,http://books.google.de/books?id=rURVAAAAYAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=135&source=gbs_api,,
Boys' Club Bulletin,,,1936,,Boys,450.0,en,http://books.google.de/books?id=5gYfAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=136&source=gbs_api,,
The Official Year Book of New South Wales ...,New South Wales. Statistician's office,,1928,,New South Wales,848.0,en,http://books.google.de/books?id=qzE9AAAAYAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=137&source=gbs_api,,
British Book News,British Council,,1992,Includes no. 53a: British wartime books for young people.,Best books,914.0,en,http://books.google.de/books?id=LrjiAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=138&source=gbs_api,,
Catalogue and Announcements,University of Pennsylvania,,1937,,,440.0,en,http://books.google.de/books?id=OoA4AAAAMAAJ&pg=PA177&dq=awarded+books&hl=&as_pt=BOOKS&cd=139&source=gbs_api,,
The International Bookbinder,,,1916,,Bookbinders,770.0,en,http://books.google.de/books?id=8ypJAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=140&source=gbs_api,,
Nation-building Endeavours: From 1 Apr. 1995 to 14 Nov. 1997,,,1999,,Burma,816.0,en,http://books.google.de/books?id=U9HsAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=161&source=gbs_api,,
